"fullname","trial"
"DT_02_D_High_20190526_C1",5
"DT_02_D_High_20190526_C1",6
"DT_02_D_Low_20190623_C2",4
"DT_03_A_High_20190525_C2",1
"DT_03_A_High_20190525_C2",5
"DT_03_A_Low_20190619_C2",1
"DT_03_A_Low_20190619_C2",3
"DT_03_A_Low_20190619_C2",6
"DT_03_A_Low_20190619_C2",7
"DT_03_C_Low_20190702_C2",2
"DT_03_D_High_20190530_C2",1
"DT_03_D_Low_20190701_C2",2
"DT_04_A_High_20190526_C2",2
"DT_04_A_High_20190526_C2",3
"DT_04_A_High_20190526_C2",6
"DT_04_B_High_20190528_C2",3
"DT_04_C_High_20190518_C2",1
"DT_04_C_High_20190518_C2",2
"DT_04_C_High_20190518_C2",3
"DT_04_C_Low_20190617_C2",2
"DT_04_D_High_20190531_C2",1
"DT_04_D_High_20190531_C2",4
"DT_05_A_High_20190531_C2",4
"DT_05_C_High_20190527_C2",3
"DT_05_D_High_20190530_C2",1
"DT_06_A_High_20190527_C2",1
"DT_06_A_High_20190527_C2",5
"DT_06_A_High_20190527_C2",6
"DT_06_B_High_20190529_C2",1
"DT_06_B_High_20190529_C2",2
"DT_06_C_High_20190519_C2",2
"DT_06_C_High_20190519_C2",3
"DT_06_C_Low_20190618_C2",1
"DT_06_D_Low_20190702_C2",1
"DT_W_01_20190604_C2",2
"DT_W_01_20190604_C2",5
"DT_W_02_20190604_C2",1
"DT_W_02_20190604_C2",2
"DT_W_03_20190605_C2",2
"DT_W_04_20190605_C2",2
"DT_W_04_20190605_C2",3
"DT_W_05_20190605_C2",2
"DT_W_05_20190605_C2",4
"DT_W_07_20190606_C2",5
"DT_W_08_20190607_C2",2
"DT_W_08_20190607_C2",4
"DT_W_11_20190611_C2",2
"DT_W_14_20190612_C2",1
"DT_W_20_20190613_C2",1
"E1_01_A_High_20190530_C2",3
"E1_01_A_Low_20190701_C2",2
"E1_01_B_High_20190524_C2",2
"E1_01_B_Low_20190619_C2",4
"E1_01_C_High_20190601_C2",1
"E1_01_C_High_20190601_C2",4
"E1_02_A_High_20190528_C2",2
"E1_02_A_High_20190528_C2",3
"E1_02_C_High_20190518_C2",1
"E1_02_C_High_20190518_C2",3
"E1_02_C_Low_20190617_C2",1
"E1_02_C_Low_20190617_C2",2
"E1_02_D_High_20190525_C2",3
"E1_02_D_Low_20190622_C2",2
"E1_02_D_Low_20190622_C2",3
"E1_03_A_High_20190531_C2",2
"E1_03_B_High_20190530_C2",2
"E1_03_B_High_20190530_C2",3
"E1_03_B_High_20190530_C2",4
"E1_03_B_Low_20190624_C2",2
"E1_03_B_Low_20190624_C2",3
"E1_03_C_High_20190524_C2",1
"E1_03_C_High_20190524_C2",2
"E1_03_C_High_20190524_C2",3
"E1_03_C_High_20190524_C2",5
"E1_03_C_High_20190524_C2",6
"E1_03_C_High_20190524_C2",7
"E1_03_C_Low_20190619_C2",1
"E1_03_C_Low_20190619_C2",2
"E1_03_C_Low_20190619_C2",3
"E1_03_C_Low_20190619_C2",4
"E1_04_A_High_20190519_C2",1
"E1_04_A_High_20190519_C2",2
"E1_04_B_High_20190529_C1",3
"E1_04_C_Low_20190623_C2",1
"E1_04_C_Low_20190623_C2",2
"E1_05_A_High_20190531_C2",4
"E1_05_D_High_20190529_C2",3
"E1_05_D_High_20190529_C2",4
"GB_01_A_High_20190524_C2",1
"GB_01_A_Low_20190619_C2",2
"GB_01_A_Low_20190619_C2",3
"GB_01_A_Low_20190619_C2",4
"GB_01_B_Low_20190702_C2",1
"GB_01_B_Low_20190702_C2",2
"GB_01_D_High_20190527_C2",2
"GB_01_D_High_20190527_C2",3
"GB_01_D_Low_20190624_C2",4
"GB_02_B_High_20190519_C2",2
"GB_02_B_Low_20190618_C2",2
"GB_02_B_Low_20190618_C2",3
"GB_02_C_High_20190527_C2",1
"GB_02_C_Low_20190623_C2",2
"GB_02_C_Low_20190623_C2",3
"GB_04_A_High_20190528_C2",3
"GB_04_B_Low_20190617_C2",1
"GB_04_B_Low_20190617_C2",4
"GB_04_C_High_20190530_C2",1
"GB_04_D_High_20190529_C2",1
"GB_04_D_High_20190529_C2",2
"GB_05_A_High_20190526_C1",2
"GB_05_A_High_20190526_C1",4
"GB_05_A_Low_20190623_C2",3
"GB_05_C_High_20190519_C2",2
"GB_05_D_Low_20190630_C2",3
"GB_06_A_High_20190528_C2",2
"GB_06_A_Low_20190625_C2",2
"GB_06_B_Low_20190619_C2",3
"GB_06_B_Low_20190619_C2",5
"GB_06_C_Low_20190701_C2",3
