fullname,trial,frame_indexed_0,start_of_trial_indexed_0,comments
GB_W_12_20190611_C2,1,39,,
GB_W_15_2_20190612_C2,2,161,,
GB_W_15_20190612_C2,4,785,,
GB_W_17_20190613_C2,3,331,,
GB_W_19_20190613_C2,2,208,,
GB_W_19_20190613_C2,3,414,,
LO_02_A_High_20190527_C2,1,40,,
LO_02_A_High_20190527_C2,3,424,,
LO_02_A_Low_20190625_C2,2,198,,
LO_02_B_High_20190525_C2,4,563,,
LO_02_B_Low_20190619_C2,1,17,,
LO_02_B_Low_20190619_C2,2,181,,
LO_02_D_Low_20190701_C2,2,184,,
LO_03_A_Low_20190701_C2,3,298,,
LO_03_C_High_20190530_C2,2,132,,
LO_03_D_High_20190524_C2,1,136,,
LO_04_A_High_20190527_C2,1,46,,
LO_04_C_High_20190519_C2,1,159,,
LO_04_C_High_20190519_C2,2,871,,
LO_04_C_High_20190519_C2,3,1478,,
LO_04_C_Low_20190618_C2,2,184,,
LO_04_D_Low_20190702_C2,4,444,,
LO_05_A_High_20190526_C2,1,20,,
LO_05_A_High_20190526_C2,3,408,,
LO_05_B_High_20190518_C2,3,540,,
LO_05_C_High_20190529_C2,2,209,,
LO_05_C_High_20190529_C2,5,840,,
LO_05_C_High_20190529_C2,6,1048,,
LO_05_C_Low_20190630_C2,1,10,,
LO_05_C_Low_20190630_C2,3,432,,
LO_05_D_Low_20190701_C2,4,600,,
LO_05_D_Low_20190701_C2,5,798,,
LO_06_A_Low_20190629_C2,4,454,,
LO_06_B_Low_20190617_C2,4,684,,
LO_06_C_High_20190525_C2,3,440,,
LO_06_C_High_20190525_C2,4,638,,
LO_06_C_Low_20190622_C1,2,218,,
LO_06_C_Low_20190622_C1,4,610,,
LO_06_D_Low_20190701_C2,2,300,,
LO_W_01_20190604_C2,2,291,,
LO_W_01_20190604_C2,4,811,,
LO_W_02_20190611_C2,4,600,,
LO_W_04_20190611_C2,1,51,,
LO_W_04_20190611_C2,4,783,,
LO_W_05_20190612_C2,1,58,,
LO_W_05_20190612_C2,2,224,,
LO_W_05_20190612_C2,3,402,,
LO_W_05_20190612_C2,4,626,,
MI_01_A_High_20190530_C2,1,20,,
MI_01_A_High_20190530_C2,2,260,,
MI_01_A_Low_20190701_C2,2,240,,
MI_01_A_Low_20190701_C2,3,468,,
MI_01_B_Low_20190619_C2,2,207,,
MI_01_C_High_20190527_C2,2,218,,
MI_01_C_Low_20190625_C2,3,493,,
MI_02_A_High_20190531_C2,1,36,,
MI_02_B_High_20190519_C2,3,755,,
MI_02_B_Low_20190618_C2,2,207,,
MI_02_C_High_20190526_C2,1,13,,
MI_02_C_Low_20190623_C2,3,408,,
MI_02_C_Low_20190623_C2,4,594,,
MI_02_C_Low_20190702_C2,2,243,,"cropping is wrong, I think"
MI_02_C_Low_20190702_C2,3,405,,
MI_02_C_Low_20190702_C2,4,594,,
MI_02_D_Low_20190630_C2,2,215,,
MI_03_B_High_20190518_C2,2,243,,
MI_03_D_Low_20190622_C2,1,30,,
MI_03_D_Low_20190622_C2,3,400,,
MI_05_A_Low_20190630_C2,2,385,,
MI_05_A_Low_20190630_C2,3,534,,
MI_05_A_Low_20190630_C2,6,1232,,
MI_05_B_High_20190527_C2,2,246,,
MI_05_B_High_20190527_C2,3,503,,
MI_05_C_High_20190529_C2,2,268,,
MI_05_C_Low_20190624_C2,2,272,,
MI_05_D_High_20190523_C2,1,24,,
MI_05_D_High_20190523_C2,2,312,,
MI_05_D_High_20190523_C2,3,594,,
MI_05_D_High_20190523_C2,4,898,,
MI_05_D_High_20190523_C2,5,1175,,
MI_05_D_High_20190523_C2,7,1681,,
MI_06_A_High_20190529_C2,1,14,,
MI_06_A_High_20190529_C2,3,680,,
MI_06_A_Low_20190629_C2,2,157,,
MI_06_A_Low_20190629_C2,3,291,,
MI_06_B_High_20190526_C2,1,91,,
MI_06_B_High_20190526_C2,2,307,,
MI_06_C_High_20190518_C2,3,613,,
PB_01_A_High_20190530_C2,1,25,,
PB_01_A_High_20190530_C2,3,409,,
PB_01_A_High_20190530_C2,4,658,,
PB_01_A_High_20190530_C2,5,801,,
PB_01_B_Low_20190619_C2,2,246,,
PB_01_B_Low_20190619_C2,4,611,,
PB_01_C_High_20190524_C2,2,178,,
PB_01_C_High_20190524_C2,4,603,,
PB_01_D_High_20190527_C2,2,206,,
PB_01_D_High_20190527_C2,4,685,,
PB_02_A_High_20190531_C2,1,51,,
PB_02_B_Low_20190630_C2,4,657,,
PB_02_C_Low_20190618_C2,2,209,,
PB_02_D_High_20190526_C2,1,29,,
PB_02_D_High_20190526_C2,2,222,,
PB_02_D_Low_20190623_C2,2,199,,
PB_04_A_High_20190523_C2,1,46,,
PB_04_A_High_20190523_C2,2,459,,
PB_04_A_High_20190523_C2,4,1163,,
PB_04_B_High_20190527_C2,2,244,,
PB_04_C_High_20190531_C2,2,281,,
PB_04_C_High_20190531_C2,4,775,,
PB_04_D_High_20190530_C2,4,745,,
PB_04_D_High_20190530_C2,5,1048,,
PB_05_A_High_20190526_C2,2,165,,
PB_05_A_High_20190526_C2,4,575,,
PB_05_A_Low_20190622_C1,1,59,,
PB_05_A_Low_20190622_C1,2,302,,
PB_05_B_High_20190518_C2,2,319,,
PB_05_B_High_20190518_C2,3,629,,
PB_05_B_High_20190518_C2,4,804,,
PB_05_E_High_20190529_C2,3,313,,
PB_06_A_Low_20190617_C2,2,269,,
PB_06_A_Low_20190617_C2,3,431,,
PB_06_B_High_20190528_C2,3,498,,
PB_06_C_High_20190525_C2,3,445,,
PB_06_C_High_20190525_C2,5,878,,
PB_06_C_Low_20190620_C2,2,202,,
PB_06_C_Low_20190622_C1,2,270,,
PB_06_D_High_20190530_C2,1,73,,
PB_06_D_High_20190530_C2,3,472,,
PB_06_D_High_20190530_C2,5,825,,
PB_W_01_20190528_C2,1,43,,
PB_W_01_20190528_C2,3,500,,
PB_W_02_20190526_C1,1,71,,
PB_W_02_20190526_C1,4,689,,
PB_W_03_20190528_C2,1,44,,
PB_W_03_20190528_C2,3,575,,
PB_W_04_20190526_C1,4,641,,
PB_W_05_20190528_C2,1,39,,
PB_W_05_20190528_C2,2,314,,
PB_W_07_2_20190604_C2,1,94,,
PB_W_07_2_20190604_C2,3,579,,
PB_W_07_2_20190604_C2,4,780,,
PB_W_07_20190604_C2,1,23,,
PB_W_07_20190604_C2,2,231,,
PB_W_08_20190605_C2,1,92,,
PB_W_08_20190605_C2,2,333,,
PB_W_08_20190605_C2,3,551,,
PB_W_11_20190610_C2,1,91,,
PB_W_11_20190610_C2,2,311,,
PB_W_11_20190610_C2,3,480,,
PB_W_12_20190610_C2,3,717,,
PB_W_13_20190610_C2,4,944,,
PB_W_14_20190610_C2,2,551,,
PB_W_14_20190610_C2,3,1018,,
PB_W_14_20190610_C2,6,2704,,
PB_W_14_20190610_C2,7,3084,,
PB_W_15_20190610_C2,1,127,,
PB_W_15_20190610_C2,3,752,,
