fullname,trial,frame_indexed_0,start_of_trial_indexed_0,difference,verification
E1_03_A_High_20190531_C2,2,172,161,11,
E1_03_B_High_20190530_C2,2,228,173,55,
E1_03_B_High_20190530_C2,3,457,410,47,
E1_03_B_High_20190530_C2,4,685,638,47,
E1_03_B_Low_20190624_C2,2,217,164,53,
E1_03_B_Low_20190624_C2,3,457,384,73,
E1_03_C_High_20190524_C2,1,38,0,38,
E1_03_C_High_20190524_C2,2,315,273,42,
E1_03_C_High_20190524_C2,3,608,537,71,
E1_03_C_High_20190524_C2,5,1083,1023,60,
E1_03_C_High_20190524_C2,6,1244,1229,15,
E1_03_C_High_20190524_C2,7,1486,1401,85,
E1_03_C_Low_20190619_C2,1,58,0,58,
E1_03_C_Low_20190619_C2,2,236,200,36,
E1_03_C_Low_20190619_C2,3,543,418,125,ok
E1_03_C_Low_20190619_C2,4,784,750,34,
E1_04_A_High_20190519_C2,1,117,0,117,ok
E1_04_A_High_20190519_C2,2,523,456,67,
E1_04_B_High_20190529_C1,3,528,474,54,
E1_04_C_Low_20190623_C2,1,54,0,54,
E1_04_C_Low_20190623_C2,2,188,152,36,
E1_05_A_High_20190531_C2,4,833,688,145,ok
E1_05_D_High_20190529_C2,3,452,395,57,
E1_05_D_High_20190529_C2,4,672,623,49,
GB_01_A_High_20190524_C2,1,16,0,16,
GB_01_A_Low_20190619_C2,2,262,207,55,
GB_01_A_Low_20190619_C2,3,444,431,13,
GB_01_A_Low_20190619_C2,4,645,616,29,
GB_01_B_Low_20190702_C2,1,40,0,40,
GB_01_B_Low_20190702_C2,2,163,159,4,
GB_01_D_High_20190527_C2,2,245,213,32,
GB_01_D_High_20190527_C2,3,478,424,54,
GB_01_D_Low_20190624_C2,4,450,424,26,
GB_02_B_High_20190519_C2,2,157,140,17,
GB_02_B_Low_20190618_C2,2,156,146,10,
GB_02_B_Low_20190618_C2,3,411,387,24,
GB_02_C_High_20190527_C2,1,27,0,27,
GB_02_C_Low_20190623_C2,2,289,189,100,
GB_02_C_Low_20190623_C2,3,439,377,62,
GB_04_A_High_20190528_C2,3,460,451,9,
GB_04_B_Low_20190617_C2,1,19,0,19,
GB_04_B_Low_20190617_C2,4,767,729,38,
GB_04_C_High_20190530_C2,1,99,0,99,
GB_04_D_High_20190529_C2,1,78,0,78,
GB_04_D_High_20190529_C2,2,290,227,63,
GB_05_A_High_20190526_C1,2,378,258,120,ok
GB_05_A_High_20190526_C1,4,784,739,45,
GB_05_A_Low_20190623_C2,3,407,366,41,
GB_05_C_High_20190519_C2,2,259,179,80,
GB_05_D_Low_20190630_C2,3,466,382,84,
GB_06_A_High_20190528_C2,2,382,256,126,ok
GB_06_A_Low_20190625_C2,2,222,202,20,
GB_06_B_Low_20190619_C2,3,495,467,28,
GB_06_B_Low_20190619_C2,5,1027,1010,17,
GB_06_C_Low_20190701_C2,3,364,315,49,
GB_06_D_Low_20190702_C2,1,58,0,58,
GB_06_D_Low_20190702_C2,3,447,441,6,
GB_W_01_20190528_C2,1,25,0,25,
GB_W_01_20190528_C2,4,516,493,23,
GB_W_01_20190528_C2,5,700,673,27,
GB_W_01_20190528_C2,6,795,779,16,
GB_W_01_20190528_C2,7,886,877,9,
GB_W_02_20190528_C2,1,26,0,26,
GB_W_02_20190528_C2,2,247,235,12,
GB_W_02_20190528_C2,3,445,432,13,
GB_W_03_20190528_C2,1,57,0,57,
GB_W_03_20190528_C2,2,262,192,70,
GB_W_03_20190528_C2,3,449,407,42,
GB_W_04_20190529_C2,2,266,247,19,
GB_W_04_20190529_C2,3,462,434,28,
GB_W_04_20190529_C2,4,724,658,66,
GB_W_05_20190529_C1,1,59,0,59,
GB_W_05_20190529_C1,4,680,669,11,
GB_W_08_20190526_C1,2,215,191,24,
GB_W_09_20190529_C2,1,48,0,48,
GB_W_09_20190529_C2,2,281,230,51,
GB_W_09_20190529_C2,3,514,462,52,
GB_W_10_20190529_C2,3,682,667,15,
GB_W_12_20190611_C2,1,39,0,39,
GB_W_15_2_20190612_C2,2,161,155,6,
GB_W_15_20190612_C2,4,785,716,69,
GB_W_17_20190613_C2,3,331,294,37,
GB_W_19_20190613_C2,2,208,202,6,
GB_W_19_20190613_C2,3,414,405,9,
LO_02_A_High_20190527_C2,1,40,0,40,
LO_02_A_High_20190527_C2,3,424,414,10,
LO_02_A_Low_20190625_C2,2,198,190,8,
LO_02_B_High_20190525_C2,4,563,523,40,
LO_02_B_Low_20190619_C2,1,17,0,17,
LO_02_B_Low_20190619_C2,2,181,171,10,
LO_02_D_Low_20190701_C2,2,184,158,26,
LO_03_A_Low_20190701_C2,3,298,276,22,
LO_03_C_High_20190530_C2,2,132,118,14,
LO_03_D_High_20190524_C2,1,136,0,136,ok
LO_04_A_High_20190527_C2,1,46,0,46,
LO_04_C_High_20190519_C2,1,159,0,159,ok
LO_04_C_High_20190519_C2,2,871,614,257,ok
LO_04_C_High_20190519_C2,3,1478,1328,150,ok
LO_04_C_Low_20190618_C2,2,184,178,6,
LO_04_D_Low_20190702_C2,4,444,422,22,
LO_05_A_High_20190526_C2,1,20,0,20,
LO_05_A_High_20190526_C2,3,408,368,40,
LO_05_B_High_20190518_C2,3,540,473,67,
LO_05_C_High_20190529_C2,2,209,152,57,
LO_05_C_High_20190529_C2,5,840,760,80,
LO_05_C_High_20190529_C2,6,1048,1032,16,
LO_05_C_Low_20190630_C2,1,10,0,10,
LO_05_C_Low_20190630_C2,3,432,362,70,
LO_05_D_Low_20190701_C2,4,600,593,7,
LO_05_D_Low_20190701_C2,5,798,780,18,
LO_06_A_Low_20190629_C2,4,454,449,5,
LO_06_B_Low_20190617_C2,4,684,645,39,
LO_06_C_High_20190525_C2,3,440,403,37,
LO_06_C_High_20190525_C2,4,638,581,57,
LO_06_C_Low_20190622_C1,2,218,142,76,
